collocation,count,count_nested,length,lambda,z
were honored,6,0,2,6.0046649765044435,12.158348912874796
step toward,4,0,2,8.318436791552802,12.152195670936523
closely monitoring,4,0,2,9.00874585811232,12.150478379427797
islamic terrorism,4,0,2,9.00874585811232,12.150478379427797
new jobs,9,0,2,4.3302622007977405,12.14816216503155
hard to,29,0,2,2.7780644471759635,12.143841212969825
fully endorse,4,0,2,7.680965918341995,12.113218976722623
that they,24,0,2,2.6258788897932677,12.112693893769132
two days,5,0,2,5.985643421015153,12.111172734245287
we cannot,13,0,2,4.4082990844699275,12.105321842071604
NEWS media,7,0,2,5.177916373742752,12.101771499620035
to give,25,0,2,3.5041297024701437,12.085770878506862
south carolina,18,0,2,10.533317078597882,12.082946463511869
